model,mag_bin,n_true_qso,raw_promised_purity,raw_achieved_purity,raw_completeness,raw_n_selected,rep_temperature_promised_purity,rep_temperature_achieved_purity,rep_temperature_completeness,rep_temperature_n_selected,bright_temperature_promised_purity,bright_temperature_achieved_purity,bright_temperature_completeness,bright_temperature_n_selected
LogReg,"[14,17)",85,,,0.0,0,,,0.0,0,,,0.0,0
LogReg,"[17,18)",341,0.9996969164285264,0.0,0.0,2,0.9996952555173918,0.0,0.0,2,0.968968670180633,0.0,0.0,3
LogReg,"[18,19)",1644,0.9416226177851936,0.2,0.0006082725060827251,5,0.9415192253039006,0.2,0.0006082725060827251,5,0.934841037821779,0.030303030303030304,0.0006082725060827251,33
LogReg,"[19,20)",3990,0.9255328067266098,0.08333333333333333,0.0007518796992481203,36,0.9254021766968974,0.08333333333333333,0.0007518796992481203,36,0.9400044081260724,0.13385826771653545,0.004260651629072682,127
LogReg,"[20,22)",13127,0.92334673643692,0.7693360711841205,0.08562504761179249,1461,0.9233455438450973,0.7692837465564738,0.08509179553591834,1452,0.9409607877056979,0.8355964374361221,0.4359716614611107,6849
RandomForest,"[14,17)",85,0.9431481481481482,1.0,0.21176470588235294,18,0.9494465417280853,1.0,0.2235294117647059,19,0.9590464154032714,1.0,0.24705882352941178,21
RandomForest,"[17,18)",341,0.96875,0.9728260869565217,0.5249266862170088,184,0.9720435719501921,0.9735449735449735,0.5395894428152492,189,0.9770675614695655,0.964824120603015,0.5630498533724341,199
RandomForest,"[18,19)",1644,0.9842742974993556,0.9938128383604021,0.7816301703163017,1293,0.9851624900486858,0.9924357034795764,0.7980535279805353,1322,0.9878676621424302,0.9889217134416544,0.8144768856447688,1354
RandomForest,"[19,20)",3990,0.985865447419987,0.988569562377531,0.7586466165413533,3062,0.9871059016295989,0.9877656149388281,0.768922305764411,3106,0.9892800929788198,0.9867882982069833,0.7862155388471178,3179
RandomForest,"[20,22)",13127,0.9681042998256828,0.9633933759442185,0.5052182524567685,6884,0.9698549062187624,0.9599944629014396,0.5283004494553211,7224,0.9723130985884613,0.9531524742527003,0.5781214291155633,7962
HistGB,"[14,17)",85,0.950882087868282,0.9655172413793104,0.32941176470588235,29,0.9516048714458306,0.967741935483871,0.35294117647058826,31,0.9551353039396445,0.96875,0.36470588235294116,32
HistGB,"[17,18)",341,0.9721486033241759,0.979381443298969,0.5571847507331378,194,0.9737369212497263,0.9796954314720813,0.5659824046920822,197,0.9755194603944911,0.9800995024875622,0.5777126099706745,201
HistGB,"[18,19)",1644,0.9840118790293357,0.9911958914159942,0.8217761557177615,1363,0.9852873347091473,0.9890430971512053,0.8236009732360098,1369,0.986352825668203,0.987707881417209,0.8309002433090025,1383
HistGB,"[19,20)",3990,0.9824527911572629,0.9883495145631068,0.7654135338345864,3090,0.9834739664690247,0.9875,0.7721804511278195,3120,0.9847228558401155,0.9863665187064046,0.7796992481203008,3154
HistGB,"[20,22)",13127,0.9631567116740473,0.9643061107938321,0.5145120743505751,7004,0.9641152767581797,0.9615966964900207,0.5321855717224042,7265,0.9657189661065498,0.958366481039512,0.5506208577740535,7542
MLP,"[14,17)",85,0.9608958927163658,0.896551724137931,0.3058823529411765,29,0.9600590529653142,0.8928571428571429,0.29411764705882354,28,0.9593423530147578,0.896551724137931,0.3058823529411765,29
MLP,"[17,18)",341,0.9772539614663417,0.9519650655021834,0.6392961876832844,229,0.9754986320464938,0.9519650655021834,0.6392961876832844,229,0.9763231337123219,0.9519650655021834,0.6392961876832844,229
MLP,"[18,19)",1644,0.9868070070376761,0.9859254046446164,0.8521897810218978,1421,0.9860084438377885,0.9858757062146892,0.8491484184914841,1416,0.9865270276478604,0.9858757062146892,0.8491484184914841,1416
MLP,"[19,20)",3990,0.986151815745437,0.9839370078740157,0.7829573934837093,3175,0.985663375841846,0.9853968253968254,0.7779448621553885,3150,0.9857731738909762,0.9845230574857865,0.781203007518797,3166
MLP,"[20,22)",13127,0.9682973198961109,0.959267070920116,0.5543536223051726,7586,0.9672721995655488,0.9599892588614393,0.5446789060714557,7448,0.9677515081759721,0.9597976570820022,0.5492496381503771,7512
