model,mag_bin,n,ECE_raw,ECE_rep_platt,ECE_bright_platt,ECE_rep_isotonic,ECE_bright_isotonic,ECE_rep_temperature,ECE_bright_temperature,cwECE_raw,cwECE_star,cwECE_galaxy,cwECE_qso
LogReg,"[14,17)",11687,0.17274006243587742,0.16324758945037868,0.12705506834091546,0.13978380847434166,0.13110559153843537,0.1728302665736466,0.12704895894915977,0.12054366310338914,0.18199556410168072,0.16313480677668588,0.01650061843180076
LogReg,"[17,18)",15061,0.12583054679816139,0.14299734571177541,0.1572157012367923,0.14816210873745908,0.14006137649312617,0.1259417284962833,0.07984133845349727,0.09376187726737602,0.12445642607824982,0.11906285265913034,0.03776635306474793
LogReg,"[18,19)",11510,0.15912140662255791,0.09095553428547677,0.13316519183669656,0.1302463687793249,0.0663502227446618,0.15910429432007683,0.1448713952977674,0.11602629245042466,0.1492267418963995,0.10792686609891883,0.09092526935595564
LogReg,"[19,20)",16016,0.09216289677540274,0.09100264453287929,0.09560746088678984,0.08035344945239042,0.05453940869524129,0.0920892410706888,0.08690531210887006,0.08211900086079123,0.08985374005979578,0.08087529993903045,0.07562796258354747
LogReg,"[20,22)",45725,0.03036197624334931,0.036929998026599874,0.04482792732145359,0.022976030201403243,0.0894102175303059,0.030422053730586478,0.07450392084770016,0.03477834042285565,0.033331338267795295,0.043240140625139825,0.027763542375631833
RandomForest,"[14,17)",11687,0.006745671829097904,0.02861092993540008,0.008828143224512466,0.008091172426773516,0.0036982542175508296,0.004902216541511904,0.002601772667309448,0.005204453191105054,0.007597330367074566,0.0064108268446422395,0.0016052023615983576
RandomForest,"[17,18)",15061,0.00646039439612231,0.028674534605250566,0.006248782869307268,0.005832845087772516,0.0026466215446396633,0.004609923938401056,0.0033518154867439058,0.005113427616581495,0.00670185689307924,0.006631697762432903,0.0020067281942323435
RandomForest,"[18,19)",11510,0.010823342021430628,0.02928915178714918,0.010513539897913524,0.008434830180206486,0.002582665660002442,0.007348850357178293,0.0037341604754909637,0.008382855487981488,0.009972777295105699,0.009251665218650494,0.00592412395018827
RandomForest,"[19,20)",16016,0.010377122877122889,0.03182592964276101,0.030326235399250896,0.006153089024060478,0.008956216210147281,0.006583896563926084,0.007325672609896782,0.008102175602175599,0.010229562104562108,0.007526848151848129,0.006550116550116557
RandomForest,"[20,22)",45725,0.01040043739748496,0.02873095733353893,0.060515776799329304,0.00579068088019901,0.021935277090317555,0.007242689621748441,0.016392643110429008,0.007601822489520692,0.0052303991252050305,0.012449571714962655,0.00512549662839439
HistGB,"[14,17)",11687,0.004985828264889726,0.012476794204393921,0.008376876757687269,0.013604861013934044,0.00823673513999954,0.004038622614576287,0.003567324433646473,0.003869034298637048,0.004850972531292234,0.005048758370390598,0.0017073719942283139
HistGB,"[17,18)",15061,0.006130926065944962,0.011978034507791653,0.0072539665275665735,0.01335815007227371,0.0066600887026724825,0.0052035367098254865,0.00403493141475092,0.004913494993681712,0.0067963838859440955,0.00606135539338134,0.0018827457017197022
HistGB,"[18,19)",11510,0.0057918569021858796,0.010561408528960642,0.0049420654695393204,0.012277847033557627,0.0036510671243927617,0.004991589935687341,0.00375950204844831,0.0065647969241605765,0.00813132662282125,0.006309855957760112,0.005253208191900367
HistGB,"[19,20)",16016,0.006106223179675864,0.008822934561390862,0.004064512437487556,0.009415430713822764,0.004175446954727521,0.005337312255578718,0.00491148819217627,0.005552147772462182,0.00548497751654573,0.005176150636047375,0.005995315164793443
HistGB,"[20,22)",45725,0.004090688153174066,0.006248188170783297,0.006491949649090165,0.009492653684860934,0.010693026703974269,0.005582965437968552,0.01078312760415855,0.0037683430015677814,0.003985871510980024,0.0032869448065394598,0.0040322126871838605
MLP,"[14,17)",11687,0.0020648488637218746,0.03133774712292985,0.008650381882118904,0.00242895715314332,0.0022517420418694443,0.0030657752301891856,0.0023060425976268377,0.003771726324191829,0.004591923892344464,0.0051137252150929,0.0016095298651381234
MLP,"[17,18)",15061,0.003534693185660353,0.03237648039872043,0.007032774489308031,0.003925356959984182,0.00341306730683543,0.004117689151580123,0.003817040517614399,0.007523476356358514,0.009403379215722582,0.010942349266846434,0.0022247005865065265
MLP,"[18,19)",11510,0.0033088714779692984,0.03181554541483631,0.012299488110024607,0.0037760706161890957,0.006462130070350965,0.0024180326015382472,0.003244821009432239,0.005854679632947381,0.0047232746162999,0.0072601655856223595,0.005580598696919883
MLP,"[19,20)",16016,0.004021841198866929,0.03485219019804775,0.032401609777070704,0.0037710117989579604,0.008918127370885806,0.004408583649748813,0.0039025357418225985,0.006655365152844236,0.006191732155606107,0.006733734494206113,0.007040628808720487
MLP,"[20,22)",45725,0.005916436730157102,0.031178194189092245,0.0642358346270965,0.005602000012068148,0.013964562192037636,0.0034830009659151716,0.004598341164373292,0.007099839642693686,0.007496454934875431,0.00603864057335903,0.0077644234198465945
